"Name","PowerState","MemoryMB","NumCpu","Guest"
"00IDM146","PoweredOn","4096","2","00IDM146:Red Hat Enterprise Linux 7 (64-bit)"
"00PRTGN74","PoweredOn","53248","24","00PRTGN74:Microsoft Windows Server 2012 (64-bit)"
"00ContactCenter217","PoweredOn","32768","8","00ContactCenter217:Microsoft Windows Server 2019 (64-bit)"
"00nbga2194","PoweredOff","16384","8","00nbga2194:"
"00SENTINEL185","PoweredOn","32768","12","00SENTINEL185:Microsoft Windows Server 2016 (64-bit)"
"Lumu Virtual Appliance 4.0.4","PoweredOn","4096","2","Lumu Virtual Appliance 4.0.4:Ubuntu Linux (64-bit)"
"00DIGAPI253","PoweredOn","4096","2","00DIGAPI253:Ubuntu Linux (64-bit)"
"00Digital232","PoweredOn","24576","12","00Digital232:Microsoft Windows Server 2019 (64-bit)"
"00Cumplo184","PoweredOn","32768","8","00Cumplo184:Microsoft Windows Server 2019 (64-bit)"
"00Digital233","PoweredOn","24576","12","00Digital233:Microsoft Windows Server 2019 (64-bit)"
"00Impresora117","PoweredOn","16384","2","00Impresora117:Microsoft Windows Server 2019 (64-bit)"
"00tasasASFI189","PoweredOn","16384","8","00tasasASFI189:Microsoft Windows 10 (64-bit)"
"00Impresora119","PoweredOn","16384","2","00Impresora119:Microsoft Windows Server 2019 (64-bit)"
"00POC_GWS187","PoweredOn","8192","2","00POC_GWS187:"
"00Impresora120","PoweredOn","16384","2","00Impresora120:Microsoft Windows Server 2019 (64-bit)"
"BD20521","PoweredOn","131072","4","BD20521:Red Hat Enterprise Linux 7 (64-bit)"
"00redirect144","PoweredOn","8192","4","00redirect144:Microsoft Windows Server 2019 (64-bit)"
"dbs07","PoweredOn","65536","8","dbs07:Red Hat Enterprise Linux 8 (64-bit)"
"00papercut78","PoweredOn","16384","4","00papercut78:Microsoft Windows Server 2016 (64-bit)"
"00papercut210","PoweredOn","8192","2","00papercut210:Microsoft Windows Server 2016 (64-bit)"
"dbs08","PoweredOn","65536","4","dbs08:Red Hat Enterprise Linux 8 (64-bit)"
"00GPLI211New","PoweredOn","4048","2","00GPLI211New:CentOS 8 (64-bit)"
"00DGI186_prod","PoweredOn","24576","10","00DGI186_prod:CentOS 7 (64-bit)"
"00w10zkteco209","PoweredOn","8192","2","00w10zkteco209:Microsoft Windows 10 (64-bit)"
"00RPA72","PoweredOn","12288","4","00RPA72:"
"dbssrv4","PoweredOn","32768","4","dbssrv4:Red Hat Enterprise Linux 8 (64-bit)"
"dbssrvnb183_v1","PoweredOn","131072","12","dbssrvnb183_v1:Red Hat Enterprise Linux 8 (64-bit)"
"00_nb_NGINX_01_130","PoweredOff","65536","1","00_nb_NGINX_01_130:"
"00_IDS_HQ_01_131","PoweredOff","65536","1","00_IDS_HQ_01_131:"
"00_ETC_DOCKER-83","PoweredOn","32768","4","00_ETC_DOCKER-83:Ubuntu Linux (64-bit)"
"BACKUP-090423-84","PoweredOff","2048","1","BACKUP-090423-84:"
"00-PASSBOLT-16","PoweredOff","2048","2","00-PASSBOLT-16:"
"72_cmAXN_15","PoweredOn","65536","1","72_cmAXN_15:Red Hat Enterprise Linux 8 (64-bit)"
"72_IFX_DBSSRV21_10","PoweredOn","262144","8","72_IFX_DBSSRV21_10:Red Hat Enterprise Linux 8 (64-bit)"
"00_nisnb_204","PoweredOff","2048","2","00_nisnb_204:"
"00nbprod157_V1","PoweredOn","65536","16","00nbprod157_V1:Microsoft Windows Server 2022 (64-bit)"
"00nbprod158_v1","PoweredOff","65536","16","00nbprod158_v1:"
"00nbprod155_ORI","PoweredOff","65536","16","00nbprod155_ORI:"
"00_CM00_80","PoweredOn","65536","4","00_CM00_80:Red Hat Enterprise Linux 8 (64-bit)"
"00_CM01_81","PoweredOff","65536","4","00_CM01_81:"
"00_CM02_82","PoweredOff","65536","4","00_CM02_82:"
"00_CM04_132","PoweredOff","65536","4","00_CM04_132:"
"00nbprod153","PoweredOn","32768","8","00nbprod153:Microsoft Windows Server 2012 (64-bit)"
"00-AXON-wincli-197","PoweredOn","8192","4","00-AXON-wincli-197:"
"72nbaxon05","PoweredOn","65536","16","72nbaxon05:Microsoft Windows Server 2012 (64-bit)"
"MI_00nbprod155_ORI","PoweredOff","65536","16","MI_00nbprod155_ORI:"
"MI_00nbprod153","PoweredOff","32768","8","MI_00nbprod153:"
"MI_00_CM04_132","PoweredOff","65536","4","MI_00_CM04_132:"
